n,p,ncpus,nthreads,seed,num_clusters,max_cluster,rperc,cperc,init_time,perc_time,tjoin_time,recv_time,pjoin_time,total_time
4000,0.250000,2,2,737278,2063587,37,0,0,0.713989,19.493763,0.050608,0.079514,0.081864,20.476212
4000,0.500000,1,1,745131,1052577,753,0,0,0.767891,39.891804,0.000001,0.000000,0.000000,40.671901
4000,0.250000,2,4,737278,2063587,37,0,0,0.666355,10.269138,0.140867,0.081539,0.082294,11.329874
4000,0.500000,1,2,745131,1052577,753,0,0,0.774913,20.408194,0.339765,0.000000,0.000000,21.550017
4000,0.500000,2,1,737278,1052249,777,0,0,0.790093,19.934436,0.000002,0.089495,0.373312,21.215485
4000,0.500000,1,4,745131,1052577,753,0,0,0.709357,10.398196,0.683867,0.000000,0.000000,11.846624
4000,0.750000,1,1,745131,54989,11926577,1,1,0.683581,3.827640,0.000002,0.000000,0.000000,4.511748
4000,0.750000,1,2,745131,54989,11926577,1,1,0.676288,2.007802,0.049061,0.000000,0.000000,2.734017
4000,0.750000,1,4,745131,54989,11926577,1,1,0.674848,1.054145,0.088170,0.000000,0.000000,1.818566
4000,0.500000,2,2,737278,1052249,777,0,0,0.779416,9.921387,0.174069,0.087888,0.335521,11.336101
4000,0.500000,2,4,737278,1052249,777,0,0,0.736644,5.265151,0.538530,0.085630,0.331874,7.021531
4000,0.750000,2,1,737278,55233,11925497,1,1,0.682185,1.789090,0.000001,0.006353,0.046097,2.524599
4000,0.750000,2,2,737278,55233,11925497,1,1,0.671074,0.955976,0.020772,0.005990,0.045769,1.700718
4000,0.750000,2,4,737278,55233,11925497,1,1,0.695685,0.537194,0.076616,0.007596,0.049815,1.369191
4000,0.250000,1,1,737278,2063587,37,0,0,0.655029,69.827057,0.000001,0.000000,0.000000,70.497238
4000,0.250000,1,2,737278,2063587,37,0,0,0.632482,35.002115,0.079481,0.000000,0.000000,35.747631
4000,0.250000,1,4,737278,2063587,37,0,0,0.614868,19.104303,0.166991,0.000000,0.000000,19.958006
4000,0.500000,1,1,737278,1052249,777,0,0,0.684326,35.848398,0.000001,0.000000,0.000000,36.544549
4000,0.500000,1,2,737278,1052249,777,0,0,0.716035,18.283901,0.345235,0.000000,0.000000,19.371030
4000,0.500000,1,4,737278,1052249,777,0,0,0.694656,9.989956,0.686243,0.000000,0.000000,11.436586
4000,0.750000,1,1,737278,55233,11925497,1,1,0.637007,3.594155,0.000001,0.000000,0.000000,4.231564
4000,0.750000,1,2,737278,55233,11925497,1,1,0.624482,1.781061,0.046048,0.000000,0.000000,2.452391
4000,0.750000,1,4,737278,55233,11925497,1,1,0.636152,0.989366,0.087231,0.000000,0.000000,1.714254
6000,0.250000,4,1,224081,4641851,40,0,0,1.953061,62.598083,0.000001,1.054446,0.381376,66.148243
6000,0.250000,3,1,224081,4641851,40,0,0,1.653661,83.451495,0.000002,0.803779,0.293314,86.319151
6000,0.250000,4,2,224081,4641851,40,0,0,1.973899,32.840580,0.096576,1.009471,0.374314,36.489157
6000,0.250000,4,4,224081,4641851,40,0,0,1.667756,17.463742,0.324715,1.155326,0.385363,21.278600
6000,0.250000,2,1,224081,4641851,40,0,0,1.601460,129.018258,0.000001,0.428437,0.217573,131.353039
6000,0.250000,3,2,224081,4641851,40,0,0,1.666571,45.253643,0.112126,0.700352,0.312976,48.217923
6000,0.250000,4,4,224081,4641851,40,0,0,1.705052,17.468750,0.344786,1.107738,0.412214,21.340909
6000,0.250000,3,4,224081,4641851,40,0,0,1.702530,23.147976,0.308799,0.503883,0.291910,26.199847
6000,0.250000,3,4,224081,4641851,40,0,0,1.590842,23.144245,0.309090,0.501396,0.291973,26.082613
6000,0.250000,2,2,224081,4641851,40,0,0,1.637604,68.260583,0.098380,0.173594,0.196857,70.486359
6000,0.250000,4,1,74984,4637803,41,0,0,1.811820,67.622097,0.000001,1.045676,0.421507,71.066783
6000,0.250000,1,1,224081,4641851,40,0,0,1.509818,235.042588,0.000001,0.000000,0.000000,236.585674
6000,0.250000,2,4,224081,4641851,40,0,0,1.494257,34.743869,0.312460,0.173707,0.203969,37.137006
6000,0.250000,4,2,74984,4637803,41,0,0,1.771823,34.594698,0.106696,1.055275,0.417547,38.157393
6000,0.250000,2,4,224081,4641851,40,0,0,1.525807,34.807077,0.309545,0.171747,0.198486,37.212614
6000,0.250000,4,4,74984,4637803,41,0,0,1.821982,17.440140,0.345794,1.083524,0.393086,21.369862
6000,0.250000,3,1,74984,4637803,41,0,0,1.589734,90.611834,0.000001,0.535185,0.313839,93.170731
6000,0.250000,4,4,74984,4637803,41,0,0,1.672589,17.436807,0.310732,1.038614,0.389671,21.132297
6000,0.250000,3,2,74984,4637803,41,0,0,1.706065,42.965990,0.093376,0.517145,0.278181,45.704649
6000,0.250000,3,4,74984,4637803,41,0,0,1.485468,22.319152,0.282322,0.837262,0.277152,25.426570
6000,0.250000,1,2,224081,4641851,40,0,0,1.343340,119.608766,0.191477,0.000000,0.000000,121.215229
6000,0.250000,3,4,74984,4637803,41,0,0,1.494203,23.046076,0.305294,0.675440,0.302563,26.079522
6000,0.250000,2,1,74984,4637803,41,0,0,1.510351,130.070703,0.000001,0.176441,0.187525,132.015255
6000,0.250000,1,4,224081,4641851,40,0,0,1.344257,65.206912,0.400886,0.000000,0.000000,67.131512
6000,0.250000,2,2,74984,4637803,41,0,0,1.489347,64.265557,0.107431,0.185055,0.198197,66.364261
6000,0.250000,1,4,224081,4641851,40,0,0,1.447231,65.936479,0.446259,0.000000,0.000000,68.049844
6000,0.250000,2,4,74984,4637803,41,0,0,1.498497,33.356491,0.293359,0.173065,0.183688,35.691499
6000,0.250000,2,4,74984,4637803,41,0,0,1.423189,32.348439,0.296862,0.173181,0.188833,34.620098
6000,0.250000,1,1,74984,4637803,41,0,0,1.427409,232.450452,0.000002,0.000000,0.000000,233.911137
500,0.000000,1,1,609920,0,0,0,0,0.072101,0.000945,0.000000,0.000000,0.000000,0.073047
500,0.000000,2,1,609920,0,0,0,0,0.073072,0.000491,0.000000,0.001384,0.000003,0.074951
500,0.000000,1,2,609920,0,0,0,0,0.052838,0.000727,0.000003,0.000000,0.000000,0.053569
500,0.000000,2,2,609920,0,0,0,0,0.044606,0.000466,0.000004,0.000813,0.000004,0.045893
500,0.000000,1,4,609920,0,0,0,0,0.041736,0.000642,0.000007,0.000000,0.000000,0.042386
500,0.000000,2,4,609920,0,0,0,0,0.055613,0.000444,0.000007,0.000204,0.000004,0.056272
500,0.000000,1,8,609920,0,0,0,0,0.051882,0.006380,0.000015,0.000000,0.000000,0.058278
500,0.000000,2,8,609920,0,0,0,0,0.062804,0.004239,0.000017,0.001379,0.000004,0.068442
500,0.200000,1,1,609920,30279,17,0,0,0.042735,0.133203,0.000000,0.000000,0.000000,0.176144
500,0.200000,2,1,609920,30279,17,0,0,0.043587,0.071111,0.000000,0.003444,0.000639,0.119218
500,0.200000,1,2,609920,30279,17,0,0,0.040904,0.071951,0.000644,0.000000,0.000000,0.113939
500,0.200000,2,2,609920,30279,17,0,0,0.046760,0.038591,0.000307,0.002642,0.000640,0.089589
500,0.200000,1,4,609920,30279,17,0,0,0.043768,0.040889,0.001355,0.000000,0.000000,0.087034
500,0.200000,2,4,609920,30279,17,0,0,0.045871,0.020612,0.001038,0.003154,0.000709,0.072506
500,0.200000,1,8,609920,30279,17,0,0,0.043374,0.025355,0.002855,0.000000,0.000000,0.073249
500,0.200000,2,8,609920,30279,17,0,0,0.057675,0.014775,0.002590,0.002948,0.000671,0.080663
500,0.400000,1,1,609920,26609,74,0,0,0.044945,0.130206,0.000000,0.000000,0.000000,0.175397
500,0.400000,2,1,609920,26609,74,0,0,0.058880,0.067008,0.000000,0.003012,0.003518,0.132922
500,0.400000,1,2,609920,26609,74,0,0,0.043249,0.070250,0.003341,0.000000,0.000000,0.117325
500,0.400000,2,2,609920,26609,74,0,0,0.046993,0.035222,0.001565,0.004411,0.003564,0.092521
500,0.400000,1,4,609920,26609,74,0,0,0.043860,0.036802,0.006552,0.000000,0.000000,0.088198
500,0.400000,2,4,609920,26609,74,0,0,0.062613,0.019631,0.004945,0.004992,0.003569,0.097007
500,0.400000,1,8,609920,26609,74,0,0,0.053154,0.032920,0.012833,0.000000,0.000000,0.100837
500,0.400000,2,8,609920,26609,74,0,0,0.063817,0.013471,0.012203,0.005514,0.003664,0.101029
500,0.600000,1,1,609920,6299,115017,1,1,0.043384,0.046189,0.000000,0.000000,0.000000,0.089634
500,0.600000,2,1,609920,6299,115017,1,1,0.058059,0.025336,0.000000,0.002011,0.004354,0.089878
500,0.600000,1,2,609920,6299,115017,1,1,0.053489,0.024177,0.004007,0.000000,0.000000,0.081781
500,0.600000,2,2,609920,6299,115017,1,1,0.059263,0.013669,0.002179,0.001594,0.004254,0.081146
500,0.600000,1,4,609920,6299,115017,1,1,0.042766,0.014413,0.008109,0.000000,0.000000,0.065508
500,0.600000,2,4,609920,6299,115017,1,1,0.068446,0.008088,0.007189,0.002400,0.004242,0.090692
500,0.600000,1,8,609920,6299,115017,1,1,0.042597,0.021429,0.016179,0.000000,0.000000,0.080682
500,0.600000,2,8,609920,6299,115017,1,1,0.048200,0.005295,0.016046,0.002803,0.004364,0.077332
500,0.800000,1,1,609920,362,199823,1,1,0.065676,0.023764,0.000000,0.000000,0.000000,0.089448
500,0.800000,2,1,609920,362,199823,1,1,0.045571,0.013281,0.000000,0.001486,0.000342,0.060689
500,0.800000,1,2,609920,362,199823,1,1,0.053416,0.012012,0.000311,0.000000,0.000000,0.065747
500,0.800000,1,4,609920,362,199823,1,1,0.042973,0.007898,0.000780,0.000000,0.000000,0.051664
500,0.800000,2,2,609920,362,199823,1,1,0.065441,0.007027,0.000190,0.001251,0.000361,0.074281
500,0.800000,1,8,609920,362,199823,1,1,0.040795,0.010137,0.001663,0.000000,0.000000,0.052626
500,0.800000,2,4,609920,362,199823,1,1,0.060796,0.004225,0.000682,0.000815,0.000368,0.066902
500,1.000000,1,1,609920,1,250000,1,1,0.041826,0.021089,0.000000,0.000000,0.000000,0.062916
500,0.800000,2,8,609920,362,199823,1,1,0.044498,0.002686,0.001316,0.006933,0.000347,0.055804
500,1.000000,1,2,609920,1,250000,1,1,0.041330,0.010875,0.000038,0.000000,0.000000,0.052244
