n,p,nnodes,nthreads,seed,num_clusters,max_cluster,rperc,cperc,init_time,perc_time,tjoin_time,recv_time,pjoin_time,total_time
500,0.000000,2,1,241311,0,0,0,0,0.095735,0.000473,0.000000,0.001452,0.000003,0.097663
500,0.000000,2,2,241311,0,0,0,0,0.049597,0.000462,0.000004,0.001466,0.000004,0.051532
500,0.000000,2,4,241311,0,0,0,0,0.045041,0.004011,0.000007,0.001380,0.000003,0.050441
500,0.000000,2,8,241311,0,0,0,0,0.046643,0.003345,0.000017,0.001410,0.000004,0.051418
500,0.200000,2,1,241311,30457,17,0,0,0.050010,0.069479,0.000000,0.002097,0.000825,0.122859
500,0.200000,2,2,241311,30457,17,0,0,0.046699,0.038923,0.000296,0.003338,0.000824,0.090724
500,0.200000,2,4,241311,30457,17,0,0,0.059650,0.022860,0.001146,0.002168,0.000924,0.088150
500,0.200000,2,8,241311,30457,17,0,0,0.047316,0.016810,0.002269,0.003409,0.000904,0.072952
500,0.400000,2,1,241311,26394,88,0,0,0.046752,0.062403,0.000000,0.004990,0.003246,0.117882
500,0.400000,2,2,241311,26394,88,0,0,0.046399,0.034227,0.001170,0.004332,0.003452,0.090374
500,0.400000,2,4,241311,26394,88,0,0,0.047542,0.039014,0.005004,0.003315,0.003525,0.099787
500,0.400000,2,8,241311,26394,88,0,0,0.046297,0.015211,0.012416,0.003292,0.003354,0.083161
500,0.600000,2,1,241311,6391,109492,1,1,0.056573,0.025046,0.000000,0.001976,0.004163,0.087908
500,0.600000,2,2,241311,6391,109492,1,1,0.045737,0.015565,0.002336,0.002570,0.004285,0.070735
500,0.600000,2,4,241311,6391,109492,1,1,0.049690,0.010585,0.006861,0.002657,0.003766,0.073899
500,0.600000,2,8,241311,6391,109492,1,1,0.059615,0.011753,0.015235,0.002517,0.003981,0.093726
500,0.800000,2,1,241311,362,199436,1,1,0.058743,0.013098,0.000000,0.000718,0.000342,0.072922
500,0.800000,2,2,241311,362,199436,1,1,0.047629,0.007427,0.000244,0.001552,0.000355,0.057229
500,0.800000,2,4,241311,362,199436,1,1,0.047327,0.008935,0.000705,0.001550,0.000367,0.058918
500,0.800000,2,8,241311,362,199436,1,1,0.045865,0.006605,0.001537,0.001553,0.000355,0.055958
500,1.000000,2,1,241311,1,250000,1,1,0.047502,0.011599,0.000000,0.001404,0.000049,0.060555
500,1.000000,2,2,241311,1,250000,1,1,0.046073,0.006300,0.000037,0.000490,0.000039,0.052941
500,1.000000,2,4,241311,1,250000,1,1,0.050292,0.003624,0.000105,0.000111,0.000042,0.054177
500,1.000000,2,8,241311,1,250000,1,1,0.046343,0.002351,0.000225,0.000240,0.000042,0.049204
1000,0.000000,2,1,241311,0,0,0,0,0.073723,0.001863,0.000000,0.001348,0.000006,0.076941
1000,0.000000,2,2,241311,0,0,0,0,0.073528,0.001161,0.000007,0.000943,0.000006,0.075645
1000,0.000000,2,4,241311,0,0,0,0,0.074825,0.000978,0.000015,0.000352,0.000007,0.076177
1000,0.000000,2,8,241311,0,0,0,0,0.074162,0.004964,0.000061,0.001461,0.000007,0.080655
1000,0.200000,2,1,241311,121507,20,0,0,0.073656,0.518725,0.000000,0.007114,0.002430,0.603570
1000,0.200000,2,2,241311,121507,20,0,0,0.098436,0.293453,0.001523,0.005977,0.002431,0.404380
1000,0.200000,2,4,241311,121507,20,0,0,0.072970,0.199048,0.004909,0.006117,0.002656,0.290204
1000,0.200000,2,8,241311,121507,20,0,0,0.077263,0.086082,0.011172,0.010872,0.002922,0.197001
1000,0.400000,2,1,241311,105773,102,0,0,0.078492,0.491732,0.000000,0.007904,0.014629,0.594897
1000,0.400000,2,2,241311,105773,102,0,0,0.093855,0.252288,0.007023,0.007830,0.012507,0.376341
1000,0.400000,2,4,241311,105773,102,0,0,0.083236,0.132647,0.019988,0.018030,0.012742,0.271816
