n,p,ncpus,nthreads,seed,num_clusters,max_cluster,rperc,cperc,init_time,perc_time,tjoin_time,recv_time,pjoin_time,total_time
500,0.000000,4,1,241311,0,0,0,0,0.093060,0.000221,0.000000,0.001451,0.000018,0.094750
500,0.000000,4,2,241311,0,0,0,0,0.065330,0.000305,0.000003,0.001425,0.000018,0.067082
500,0.000000,4,4,241311,0,0,0,0,0.073528,0.000453,0.000007,0.001384,0.000007,0.075378
500,0.000000,4,8,241311,0,0,0,0,0.057700,0.000563,0.000015,0.001742,0.000007,0.060028
500,0.200000,4,1,241311,30457,17,0,0,0.625556,0.037689,0.000000,0.007672,0.001627,0.673485
500,0.200000,4,2,241311,30457,17,0,0,0.048001,0.018195,0.000267,0.007568,0.001473,0.076515
500,0.200000,4,4,241311,30457,17,0,0,0.073621,0.010154,0.001169,0.007704,0.001418,0.095502
500,0.200000,4,8,241311,30457,17,0,0,0.088199,0.006695,0.002468,0.009338,0.001420,0.110392
500,0.400000,4,1,241311,26394,88,0,0,0.104588,0.030832,0.000000,0.009760,0.005523,0.151719
500,0.400000,4,2,241311,26394,88,0,0,0.646787,0.015769,0.001561,0.011019,0.005367,0.681759
500,0.400000,4,4,241311,26394,88,0,0,0.096111,0.009470,0.005075,0.010877,0.005398,0.128695
500,0.400000,4,8,241311,26394,88,0,0,0.066141,0.006952,0.011284,0.012968,0.005616,0.105692
500,0.600000,4,1,241311,6391,109492,1,1,0.060047,0.011572,0.000000,0.006307,0.007332,0.085531
500,0.600000,4,2,241311,6391,109492,1,1,0.069528,0.006432,0.002078,0.007260,0.007233,0.092863
500,0.600000,4,4,241311,6391,109492,1,1,0.301596,0.003966,0.006472,0.006161,0.007232,0.325884
500,0.600000,4,8,241311,6391,109492,1,1,0.052671,0.003014,0.013989,0.009532,0.007214,0.087046
500,0.800000,4,1,241311,362,199436,1,1,0.059329,0.006128,0.000000,0.001821,0.000679,0.067983
500,0.800000,4,2,241311,362,199436,1,1,0.046227,0.003417,0.000192,0.001752,0.000705,0.052320
500,0.800000,4,4,241311,362,199436,1,1,0.071015,0.002137,0.000461,0.001820,0.000706,0.076172
500,0.800000,4,8,241311,362,199436,1,1,0.346612,0.001547,0.001246,0.002060,0.000790,0.352302
500,1.000000,4,1,241311,1,250000,1,1,0.090820,0.005421,0.000000,0.001452,0.000094,0.097789
500,1.000000,4,2,241311,1,250000,1,1,0.070727,0.003342,0.000036,0.001469,0.000122,0.075698
500,1.000000,4,4,241311,1,250000,1,1,0.080879,0.001907,0.000099,0.001640,0.000101,0.084628
500,1.000000,4,8,241311,1,250000,1,1,0.057897,0.001306,0.000228,0.001466,0.000111,0.061012
1000,0.000000,4,1,241311,0,0,0,0,0.078878,0.001019,0.000000,0.001423,0.000012,0.081333
1000,0.000000,4,2,241311,0,0,0,0,0.123436,0.000637,0.000006,0.001361,0.000012,0.125453
1000,0.000000,4,4,241311,0,0,0,0,0.097893,0.000621,0.000014,0.002210,0.000013,0.100751
1000,0.000000,4,8,241311,0,0,0,0,0.680991,0.000738,0.000029,0.001575,0.000014,0.683347
1000,0.200000,4,1,241311,121507,20,0,0,0.145166,0.259438,0.000000,0.021632,0.005249,0.434924
1000,0.200000,4,2,241311,121507,20,0,0,0.098442,0.136928,0.001247,0.022045,0.005288,0.268209
1000,0.200000,4,4,241311,121507,20,0,0,0.078191,0.075423,0.004661,0.027665,0.005237,0.197016
1000,0.200000,4,8,241311,121507,20,0,0,0.112701,0.043849,0.009685,0.029116,0.005235,0.210042
1000,0.400000,4,1,241311,105773,102,0,0,0.136576,0.232818,0.000000,0.032661,0.026846,0.433189
1000,0.400000,4,2,241311,105773,102,0,0,0.089438,0.118745,0.005917,0.036522,0.026978,0.283128
1000,0.400000,4,4,241311,105773,102,0,0,0.096473,0.068807,0.018450,0.034867,0.026813,0.252734
1000,0.400000,4,8,241311,105773,102,0,0,0.083624,0.042283,0.046348,0.040473,0.028349,0.253455
1000,0.600000,4,1,241311,25657,450929,1,1,0.122770,0.075497,0.000000,0.017500,0.031636,0.248353
1000,0.600000,4,2,241311,25657,450929,1,1,0.130967,0.038824,0.007341,0.017739,0.031299,0.227358
1000,0.600000,4,4,241311,25657,450929,1,1,0.094235,0.023308,0.024123,0.020679,0.031430,0.195532
1000,0.600000,4,8,241311,25657,450929,1,1,0.094033,0.015114,0.056797,0.026031,0.031389,0.226079
1000,0.800000,4,1,241311,1506,797774,1,1,0.101330,0.025913,0.000000,0.003376,0.002813,0.133474
1000,0.800000,4,2,241311,1506,797774,1,1,0.092101,0.013422,0.000742,0.005152,0.002938,0.114406
1000,0.800000,4,4,241311,1506,797774,1,1,0.087366,0.007999,0.002455,0.003470,0.002808,0.104169
1000,0.800000,4,8,241311,1506,797774,1,1,0.117992,0.005088,0.004394,0.002975,0.002811,0.133369
1000,1.000000,4,1,241311,1,1000000,1,1,0.075287,0.020887,0.000000,0.001523,0.000213,0.097913
1000,1.000000,4,2,241311,1,1000000,1,1,0.102264,0.010816,0.000069,0.001625,0.000191,0.114968
1000,1.000000,4,4,241311,1,1000000,1,1,0.088604,0.006331,0.000188,0.001553,0.000193,0.096874
