n,p,nnodes,nthreads,seed,num_clusters,max_cluster,rperc,cperc,init_time,perc_time,tjoin_time,recv_time,pjoin_time,total_time
10000,0.300000,4,28,1666527041,12811224,62,0,0,4.257734,13.038072,11.055977,8.294687,1.443501,41.700089
15000,0.300000,4,28,1666527502,28839072,66,0,0,9.489420,41.360840,26.334057,15.866182,3.319367,106.389007
20000,0.300000,4,28,1666527687,51268805,73,0,0,16.905173,95.482265,45.188184,32.554769,5.974766,213.674182
25000,0.300000,4,28,1666538834,80100000,77,0,0,26.600482,184.667151,73.779816,48.263773,9.820162,370.694997
27500,0.300000,4,28,549147,96913369,83,0,0,31.885764,244.046698,83.271671,59.260747,11.055059,459.191669
28000,0.300000,4,28,678798,100462820,72,0,0,32.943882,257.351178,93.368469,60.641516,12.935865,487.881919
29000,0.300000,4,28,722274,107786858,70,0,0,35.496842,285.816037,99.156633,65.428572,12.903339,531.429666
30000,0.600000,4,28,293963,22838297,412680211,1,1,40.238919,67.806677,228.361369,36.144029,31.321148,413.412670
