n,p,nnodes,nthreads,seed,num_clusters,max_cluster,rperc,cperc,init_time,perc_time,tjoin_time,recv_time,pjoin_time,total_time
1500,0.000000,3,8,241311,0,0,0,0,0.126518,0.001211,0.000042,0.005457,0.000016,0.133244
1500,0.200000,3,1,241311,273015,25,0,0,0.150915,1.233473,0.000001,0.026672,0.010627,1.428030
1500,0.200000,3,2,241311,273015,25,0,0,0.134797,0.621531,0.003641,0.030717,0.010080,0.809091
1500,0.200000,3,4,241311,273015,25,0,0,0.125664,0.343437,0.010204,0.033457,0.009740,0.534017
1500,0.200000,3,8,241311,273015,25,0,0,0.128800,0.181612,0.022908,0.055953,0.009890,0.418580
1500,0.400000,3,1,241311,238068,135,0,0,0.169501,1.117781,0.000001,0.036055,0.052459,1.383282
1500,0.400000,3,2,241311,238068,135,0,0,0.181802,0.574467,0.016693,0.036984,0.051514,0.871179
1500,0.400000,3,4,241311,238068,135,0,0,0.149576,0.313450,0.046969,0.098263,0.051265,0.674052
1500,0.400000,3,8,241311,238068,135,0,0,0.160148,0.167891,0.112680,0.092660,0.051633,0.609829
1500,0.600000,3,1,241311,57675,999672,1,1,0.149825,0.334328,0.000000,0.017473,0.060170,0.563403
1500,0.600000,3,2,241311,57675,999672,1,1,0.151861,0.175787,0.019566,0.019472,0.060275,0.429227
1500,0.600000,3,4,241311,57675,999672,1,1,0.136565,0.092336,0.053813,0.077141,0.056265,0.419377
1500,0.600000,3,8,241311,57675,999672,1,1,0.147991,0.054208,0.135181,0.023357,0.057397,0.423651
1500,0.800000,3,1,241311,3266,1795195,1,1,0.147352,0.090720,0.000000,0.004064,0.003943,0.246154
1500,0.800000,3,2,241311,3266,1795195,1,1,0.135575,0.048994,0.001403,0.008100,0.004040,0.198207
1500,0.800000,3,4,241311,3266,1795195,1,1,0.151694,0.027696,0.004873,0.017192,0.003987,0.205598
1500,0.800000,3,8,241311,3266,1795195,1,1,0.147389,0.017287,0.010399,0.003727,0.004198,0.183200
1500,1.000000,3,1,241311,1,2250000,1,1,0.171311,0.071540,0.000000,0.001481,0.000176,0.244513
1500,1.000000,3,2,241311,1,2250000,1,1,0.135986,0.039126,0.000108,0.001528,0.000188,0.176942
1500,1.000000,3,4,241311,1,2250000,1,1,0.148930,0.020689,0.000289,0.012859,0.000176,0.182948
1500,1.000000,3,8,241311,1,2250000,1,1,0.130227,0.011374,0.000675,0.001490,0.000226,0.143998
2000,0.000000,3,1,241311,0,0,0,0,0.194612,0.004767,0.000000,0.002123,0.000022,0.201524
2000,0.000000,3,2,241311,0,0,0,0,0.189590,0.002802,0.000012,0.001481,0.000023,0.193909
2000,0.000000,3,4,241311,0,0,0,0,0.233755,0.001794,0.000028,0.001514,0.000022,0.237114
2000,0.000000,3,8,241311,0,0,0,0,0.209049,0.001813,0.000055,0.001440,0.000023,0.212380
2000,0.200000,3,1,241311,485620,26,0,0,0.193921,2.697157,0.000001,0.072231,0.015168,2.989649
2000,0.200000,3,2,241311,485620,26,0,0,0.202988,1.450930,0.006856,0.041178,0.014847,1.731509
2000,0.200000,3,4,241311,485620,26,0,0,0.228933,0.787187,0.018308,0.041736,0.015437,1.118504
2000,0.200000,3,8,241311,485620,26,0,0,0.201685,0.418492,0.044071,0.079223,0.014735,0.792410
2000,0.400000,3,1,241311,424011,115,0,0,0.208098,2.433789,0.000001,0.059827,0.083794,2.797227
2000,0.400000,3,2,241311,424011,115,0,0,0.227476,1.235167,0.029523,0.094321,0.082786,1.685163
2000,0.400000,3,4,241311,424011,115,0,0,0.231139,0.689963,0.081506,0.080381,0.084355,1.196759
2000,0.400000,3,8,241311,424011,115,0,0,0.216443,0.380088,0.205280,0.128162,0.086216,1.073507
2000,0.600000,3,1,241311,101346,1828500,1,1,0.213663,0.691305,0.000000,0.028689,0.095363,1.032489
